7.853135603635681417e-01,9.530102971806463374e-01,4.078263101185080064e-01
5.131509484065772675e-01,5.772966244756256859e-01,5.543194085356104583e-01
2.723046527615080592e-02,4.966502601029759711e-01,2.777230528622128825e-01
6.768413723334586463e-01,1.899990218661110619e-01,7.726970648998524593e-01
8.840369890104061712e-01,1.920638573375300640e-01,8.696610427808707522e-01
2.886831618648076914e-01,8.753051776161322461e-01,2.509692405805863391e-02
2.713049667597028369e-01,7.300394969551697866e-01,2.923745927681824508e-01
9.172843666037655552e-04,4.922709028092816519e-01,8.858339933542076494e-01
4.503309922735179160e-01,2.790816391963735210e-02,7.413290610340766973e-01
5.720844545087745425e-01,1.002324329102640688e-01,8.447577028336783478e-01
9.547860995298912412e-01,7.276405740265670108e-01,7.287670826552808956e-01
1.115101399872409083e-02,6.030754998640808218e-03,9.975199519774505807e-01
4.313568779436641742e-01,5.009641940130178384e-01,8.662130014403446321e-01
2.101675220772094566e-01,7.807048024389223739e-01,9.048293801444613482e-01
5.122447808268797420e-01,7.717123894743717072e-01,8.322698033556114039e-01
